Regex;name;cbscode;amsterdamcode
(?:[^a-zA-Z]|\b)echt(?:[^a-zA-Z]|\b);Echt;902;10941
(?:[^a-zA-Z]|\b)echteld(?:[^a-zA-Z]|\b);Echteld;227;10832
(?:[^a-zA-Z]|\b)edam(?:[^a-zA-Z]|\b);Edam;1315;10884
(?:[^a-zA-Z]|\b)ede(?:[^a-zA-Z]|\b);Ede;228;10743
(?:[^a-zA-Z]|\b)eede(?:[^a-zA-Z]|\b);Eede;1052;11128
(?:[^a-zA-Z]|\b)eelde(?:[^a-zA-Z]|\b);Eelde;113;10622
(?:[^a-zA-Z]|\b)eemnes(?:[^a-zA-Z]|\b);Eemnes;317;10248
(?:[^a-zA-Z]|\b)eenrum(?:[^a-zA-Z]|\b);Eenrum;11;10904
(?:[^a-zA-Z]|\b)eersel(?:[^a-zA-Z]|\b);Eersel;770;10741
(?:[^a-zA-Z]|\b)heesbeen(?:[^a-zA-Z]|\b)|(?:[^a-zA-Z]|\b)eethen(?:[^a-zA-Z]|\b)|(?:[^a-zA-Z]|\b)genderen(?:[^a-zA-Z]|\b);Eethen, Genderen en Heesbeen;1255;10010
(?:[^a-zA-Z]|\b)egmond.?aan.?zee(?:[^a-zA-Z]|\b);Egmond aan Zee;386;10421
(?:[^a-zA-Z]|\b)egmond.?binnen(?:[^a-zA-Z]|\b);Egmond-Binnen;387;10989
(?:[^a-zA-Z]|\b)eibergen(?:[^a-zA-Z]|\b);Eibergen;229;10436
(?:[^a-zA-Z]|\b)e(ij|y)gelshoven(?:[^a-zA-Z]|\b);Eijgelshoven;904;10960
(?:[^a-zA-Z]|\b)e(ij|y)sden(?:[^a-zA-Z]|\b);Eijsden;905;10314
(?:[^a-zA-Z]|\b)eindhoven(?:[^a-zA-Z]|\b);Eindhoven;772;11298
(?:[^a-zA-Z]|\b)elburg(?:[^a-zA-Z]|\b);Elburg;230;11113
(?:[^a-zA-Z]|\b)elkerzee(?:[^a-zA-Z]|\b);Elkerzee;1053;10184
(?:[^a-zA-Z]|\b)ellemeet(?:[^a-zA-Z]|\b);Ellemeet;1054;10102
(?:[^a-zA-Z]|\b)ellewoutsd(ij|y)k(?:[^a-zA-Z]|\b);Ellewoutsdijk;663;11300
(?:[^a-zA-Z]|\b)elsloo(?:[^a-zA-Z]|\b);Elsloo;903;11187
(?:[^a-zA-Z]|\b)elst(?:[^a-zA-Z]|\b);Elst;231;11188
(?:[^a-zA-Z]|\b)emmen(?:[^a-zA-Z]|\b);Emmen;114;11180
(?:[^a-zA-Z]|\b)emmikhoven(?:[^a-zA-Z]|\b);Emmikhoven;1056;10621
