Location_Regex,n_both,n_total,Normalized_Mentions
(?:[^a-zA-Z]|\b)empel|meerwijk(?:[^a-zA-Z]|\b),2,15,0.13333333333333333
(?:[^a-zA-Z]|\b)engelen(?:[^a-zA-Z]|\b),0,21,0.0
(?:[^a-zA-Z]|\b)enkhui(z|s)en(?:[^a-zA-Z]|\b),8,53,0.1509433962264151
(?:[^a-zA-Z]|\b)ensch(ede|\.)(?:[^a-zA-Z]|\b),10,88,0.11363636363636363
(?:[^a-zA-Z]|\b)epe(?:[^a-zA-Z]|\b),2,15,0.13333333333333333
(?:[^a-zA-Z]|\b)ermelo(?:[^a-zA-Z]|\b),1,7,0.14285714285714285
(?:[^a-zA-Z]|\b)erp(?:[^a-zA-Z]|\b),0,16,0.0
(?:[^a-zA-Z]|\b)esch(?:[^a-zA-Z]|\b),4,14,0.2857142857142857
(?:[^a-zA-Z]|\b)escharen(?:[^a-zA-Z]|\b),0,1,0.0
(?:[^a-zA-Z]|\b)est.?en.?op(ij|y)nen(?:[^a-zA-Z]|\b),0,0,0.0
(?:[^a-zA-Z]|\b)etten.?en.?leur(?:[^a-zA-Z]|\b),3,11,0.2727272727272727
