Location_Regex,n_both,n_total,Normalized_Mentions
peursum,2,10,0.2
philippine,0,6,0.0
piershil,1,12,0.08333333333333333
p(ij|y)nacker,1,19,0.05263157894736842
poedero(ij|y)en,1,2,0.5
polsbroek,7,35,0.2
poortugaal,1,28,0.03571428571428571
poortvliet,0,0,0.0
posterholt,0,0,0.0
princenhage,0,4,0.0
purmerend,12,92,0.13043478260869565
putte,40,318,0.12578616352201258
putten,23,108,0.21296296296296297
puttershoek,0,25,0.0
raalte,11,47,0.23404255319148937
raamsdonk,7,16,0.4375
ransdorp,3,18,0.16666666666666666
rauwerderhem,0,1,0.0
ravenstein,0,8,0.0
reek,161,1245,0.12931726907630522
reeuw(ij|y)k,2,15,0.13333333333333333
renesse,11,70,0.15714285714285714
renkum,0,11,0.0
renswoude,2,6,0.3333333333333333
retranchement,0,1,0.0
reusel,0,3,0.0
rheden,51,411,0.12408759124087591
